start_date,incident_type,receiver_country,receiver_region,receiver_category,initiator_country,initiator_category,data_theft,has_disruption,disruption,hijacking,economic_impact,impact_indicator_value
2026-02-01,Data theft; Hijacking with Misuse,Israel; Canada; United States; United States; United States; United States; United States,ASIA; MENA; MEA - NATO; NORTHAM - NATO; NORTHAM - NATO; NORTHAM - NATO; NORTHAM - NATO; NORTHAM - NATO; NORTHAM,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition) - Social groups - Social groups - Critical infrastructure - Critical infrastructure - Critical infrastructure - Social groups,"Iran, Islamic Republic of","Non-state actor, state-affiliation suggested",,False,,,,0.0
2026-01-01,Hijacking with Misuse,Iraq,ASIA; MENA; MEA,State institutions / political system,"Iran, Islamic Republic of","Non-state actor, state-affiliation suggested",Not available,False,Not available,,,0.0
2026-03-01,Data theft; Hijacking with Misuse; Ransomware,"Korea, Republic of",ASIA; SCS; NEA,Critical infrastructure,Not available,Non-state-group,,False,Not available,,,0.0
2026-02-01,Data theft; Disruption; Hijacking with Misuse,Germany; Germany,EUROPE; NATO; EU(MS); WESTEU - EUROPE; NATO; EU(MS); WESTEU,Critical infrastructure - Critical infrastructure,Not available,Not available,,False,,,,0.0
2026-03-04,Disruption; Hijacking with Misuse,United States,NATO; NORTHAM,State institutions / political system,Not available,Not available,,False,,,,0.0
2024-01-01,Hijacking with Misuse,Europe (region); Southeast Asia (region), - ,State institutions / political system - State institutions / political system,China,"Non-state actor, state-affiliation suggested",,False,,,,0.0
2026-03-02,Data theft; Hijacking with Misuse,Argentina,SOUTHAM,Critical infrastructure,Not available,Non-state-group,,False,,,,0.0
,Data theft; Hijacking with Misuse,Ukraine,EUROPE; EASTEU,Unknown,,,,False,,,,0.0
2025-04-17,Data theft & Doxing; Disruption; Hijacking with Misuse; Ransomware,"Korea, Republic of",ASIA; SCS; NEA,Critical infrastructure; Critical infrastructure,Not available,Non-state-group,,False,,,,0.0
1970-01-01,Data theft; Hijacking without Misuse,"Iran, Islamic Republic of",ASIA; MENA; MEA,Not available,,,,False,,,,0.0
2026-03-01,Data theft & Doxing; Disruption; Hijacking with Misuse; Ransomware,Israel,ASIA; MENA; MEA,Critical infrastructure,Not available,Non-state-group,,False,,,,0.0
2026-01-01,Disruption; Hijacking with Misuse,Jordan; Jordan; Israel,ASIA; MENA; MEA - ASIA; MENA; MEA - ASIA; MENA; MEA,State institutions / political system - Critical infrastructure - Critical infrastructure,"Iran, Islamic Republic of","Non-state actor, state-affiliation suggested",Not available,False,,,,0.0
2026-02-01,Disruption; Hijacking with Misuse,Israel,ASIA; MENA; MEA,Critical infrastructure,"Iran, Islamic Republic of","Non-state actor, state-affiliation suggested",Not available,False,,,,0.0
2025-01-01,Hijacking without Misuse,Middle East (region),,Not available,"Korea, Republic of","Non-state actor, state-affiliation suggested",Not available,False,Not available,,,0.0
2026-02-27,Disruption; Hijacking with Misuse,Austria,EUROPE; EU(MS); WESTEU,State institutions / political system,Not available,Not available,,False,,,,0.0
2026-03-01,Disruption; Hijacking with Misuse,"Iran, Islamic Republic of",ASIA; MENA; MEA,State institutions / political system; Media,Israel,State,Not available,False,,,,0.0
2026-02-25,Data theft & Doxing; Hijacking with Misuse,Israel,ASIA; MENA; MEA,Critical infrastructure,"Iran, Islamic Republic of",Non-state-group,,False,Not available,,,0.0
2025-01-01,Data theft & Doxing; Hijacking without Misuse,France; France,EUROPE; NATO; EU(MS); WESTEU - EUROPE; NATO; EU(MS); WESTEU,Critical infrastructure - Critical infrastructure,Not available,Non-state-group,,False,Not available,,,0.0
2026-02-28,Hijacking with Misuse,"Iran, Islamic Republic of",ASIA; MENA; MEA,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition),Not available,Not available,Not available,False,Not available,,,0.0
2026-02-22,Hijacking without Misuse,Germany,EUROPE; NATO; EU(MS); WESTEU,Critical infrastructure,Not available,Not available,Not available,False,Not available,,,0.0
2026-01-01,Hijacking without Misuse,Spain,EUROPE; NATO; EU(MS),State institutions / political system,Not available,Not available,,False,,,,0.0
2026-02-14,Data theft; Disruption; Hijacking with Misuse; Ransomware; Hijacking with Misuse,United States,NATO; NORTHAM,Critical infrastructure,Not available,Not available,,False,,,,0.0
2017-01-01,Data theft; Hijacking without Misuse,Global (region),,State institutions / political system; Critical infrastructure; Critical infrastructure,China,"Non-state actor, state-affiliation suggested",,False,,,,0.0
2026-02-22,Disruption; Hijacking with Misuse,New Zealand,OC,Critical infrastructure,Not available,Individual hacker(s),,False,,,,0.0
2025-09-01,Data theft; Hijacking with Misuse,Germany; United States; Europe (region); United States; United States; United States,EUROPE; NATO; EU(MS); WESTEU - NATO; NORTHAM -  - NATO; NORTHAM - NATO; NORTHAM - NATO; NORTHAM,Critical infrastructure - Critical infrastructure - Critical infrastructure - Critical infrastructure - Critical infrastructure; Critical infrastructure - Critical infrastructure,Russia,Non-state-group,,False,Not available,,,0.0
2026-02-16,Disruption; Hijacking with Misuse; Ransomware; Hijacking with Misuse,United States,NATO; NORTHAM,State institutions / political system,Not available,Non-state-group,,False,,,,0.0
2021-06-15,Data theft & Doxing; Hijacking with Misuse,United States; United States,NATO; NORTHAM - NATO; NORTHAM,State institutions / political system - Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition),Romania,Individual hacker(s),,False,Not available,,,0.0
2026-02-08,Data theft; Hijacking with Misuse; Ransomware,Ivory Coast,AFRICA; SSA,Critical infrastructure,Not available,Non-state-group,,False,Not available,,,0.0
2026-02-01,Disruption,Germany; Germany,EUROPE; NATO; EU(MS); WESTEU - EUROPE; NATO; EU(MS); WESTEU,State institutions / political system - State institutions / political system; Critical infrastructure,Not available,Not available,Not available,False,,Not available,,0.0
2026-02-01,Hijacking without Misuse,Ukraine; Ukraine,EUROPE; EASTEU - EUROPE; EASTEU,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition) - Critical infrastructure,Not available,Not available,Not available,False,Not available,,,0.0
2026-02-19,Disruption; Hijacking with Misuse,United States,NATO; NORTHAM,Critical infrastructure,Not available,Not available,,False,,,,0.0
2026-02-15,Disruption; Hijacking with Misuse; Ransomware,Japan,ASIA; SCS; NEA,Critical infrastructure,Not available,Unknown - not attributed,,False,,,,0.0
2026-01-01,Data theft,France,EUROPE; NATO; EU(MS); WESTEU,State institutions / political system,,,,False,,,,0.0
2026-02-17,Disruption,Germany,EUROPE; NATO; EU(MS); WESTEU,Critical infrastructure,Not available,Not available,,False,,,,0.0
2025-11-09,Hijacking without Misuse; Ransomware,United States,NATO; NORTHAM,Critical infrastructure,Not available,Not available,Not available,False,Not available,,,0.0
2024-01-01,Hijacking with Misuse,Not available,,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition),China,"Non-state actor, state-affiliation suggested",Not available,False,Not available,,,0.0
2025-01-01,Data theft; Hijacking with Misuse,United States; United States,NATO; NORTHAM - NATO; NORTHAM,Critical infrastructure - Critical infrastructure,China,"Non-state actor, state-affiliation suggested",,False,,,,0.0
2025-06-01,Disruption; Hijacking with Misuse,Israel,ASIA; MENA; MEA,Unknown,"Iran, Islamic Republic of","Non-state actor, state-affiliation suggested",,False,,,,0.0
2026-01-20,Data theft & Doxing; Hijacking with Misuse; Ransomware,Mexico,,Critical infrastructure,Not available,Non-state-group,,False,Not available,,,0.0
2025-12-08,Disruption; Hijacking with Misuse; Ransomware,United States,NATO; NORTHAM,State institutions / political system,Not available,Non-state-group,Not available,True,,,,0.0
2026-01-28,Data theft; Data theft & Doxing,France,EUROPE; NATO; EU(MS); WESTEU,State institutions / political system,Not available,Not available,,False,,,,0.0
2025-11-01,Disruption; Hijacking with Misuse,"Japan; Vietnam; India; China; Korea, Republic of; Brazil; Nepal; Lithuania; Bangladesh; Australia; Not available",ASIA; SCS; NEA - ASIA; SCS; SEA - ASIA; SASIA; SCO - ASIA; SCS; EASIA; NEA; SCO - ASIA; SCS; NEA - SOUTHAM - ASIA; SASIA - EUROPE; NATO; EU(MS); NORTHEU - ASIA; SASIA - OC - ,State institutions / political system; Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition); Education - State institutions / political system; Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition); Education - State institutions / political system; Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition); Education - State institutions / political system; Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition); Education - State institutions / political system; Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition); Education - State institutions / political system; Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition); Education - State institutions / political system; Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition); Education - State institutions / political system; Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition); Education - State institutions / political system; Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition); Education - State institutions / political system; Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition); Education - State institutions / political system; Critical infrastructure; Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition); Media; Critical infrastructure; Education,,,,False,,,,0.0
2026-02-13,Disruption; Hijacking with Misuse,United States,NATO; NORTHAM,Critical infrastructure,Not available,Not available,,False,,,,0.0
2026-01-01,Data theft; Hijacking with Misuse,Austria,EUROPE; EU(MS); WESTEU,State institutions / political system; Science; Education,Not available,Not available,,False,Not available,,,0.0
2026-02-04,Data theft; Disruption; Hijacking with Misuse; Ransomware,United States,NATO; NORTHAM,State institutions / political system; Education,Not available,Non-state-group,,False,,,,0.0
2026-02-09,Data theft & Doxing; Disruption; Hijacking with Misuse; Ransomware,Japan,ASIA; SCS; NEA,Critical infrastructure,Not available,Not available,,False,,,,0.0
2026-02-13,Data theft; Data theft & Doxing,United States,NATO; NORTHAM,Critical infrastructure,Not available,Non-state-group,,False,,,,0.0
2026-02-11,Disruption; Hijacking with Misuse,Italy,EUROPE; NATO; EU(MS),State institutions / political system,Not available,Not available,,False,,,,0.0
2026-02-11,Disruption; Hijacking with Misuse,United States; United States,NATO; NORTHAM - NATO; NORTHAM,State institutions / political system - State institutions / political system,Not available,Not available,,False,,,,0.0
,Data theft; Hijacking with Misuse,Not available,,Critical infrastructure,"Korea, Democratic People's Republic of","Non-state actor, state-affiliation suggested",,False,,,,0.0
2026-02-12,Disruption; Hijacking with Misuse; Ransomware; Hijacking with Misuse,United States,NATO; NORTHAM,State institutions / political system,Not available,Not available,,True,,,,0.0
2026-02-06,Data theft,Netherlands; Netherlands,EUROPE; NATO; EU(MS); WESTEU - EUROPE; NATO; EU(MS); WESTEU,Critical infrastructure - Critical infrastructure,Not available,Non-state-group,,False,,,,0.0
,Data theft & Doxing; Hijacking with Misuse,Ukraine,EUROPE; EASTEU,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition),Not available,Non-state-group,,False,Not available,,,0.0
2026-02-04,Disruption,Italy; Italy; Italy,EUROPE; NATO; EU(MS) - EUROPE; NATO; EU(MS) - EUROPE; NATO; EU(MS),Other - State institutions / political system - State institutions / political system,Russia,"Non-state actor, state-affiliation suggested",,False,,,,0.0
2026-01-29,Data theft; Hijacking without Misuse,Finland; Europe (region); Netherlands; Netherlands; United States,EUROPE; EU(MS); NORTHEU -  - EUROPE; NATO; EU(MS); WESTEU - EUROPE; NATO; EU(MS); WESTEU - NATO; NORTHAM,State institutions / political system - International / supranational organization - State institutions / political system - State institutions / political system - Critical infrastructure,Not available,Not available,,False,,,,0.0
2025-01-01,Data theft; Hijacking without Misuse,Norway,EUROPE; NATO; NORTHEU,Not available,China,"Non-state actor, state-affiliation suggested",,False,,,,0.0
2026-01-30,Data theft,EU (institutions),,International / supranational organization,Not available,Not available,,False,,,,0.0
2026-02-06,Disruption; Hijacking with Misuse; Ransomware; Hijacking with Misuse,United States; United States; United States,NATO; NORTHAM - NATO; NORTHAM - NATO; NORTHAM,State institutions / political system - Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition) - State institutions / political system,Not available,Not available,,False,,,,0.0
2026-01-19,Data theft; Disruption,Senegal,AFRICA; SSA,State institutions / political system,Not available,Non-state-group,,False,,,,0.0
2026-02-03,Data theft & Doxing; Disruption; Hijacking with Misuse,Romania,EUROPE; BALKANS; NATO; EU(MS),Critical infrastructure,Russia,Non-state-group; Non-state-group; Non-state-group,,False,,,,0.0
2026-01-29,Hijacking without Misuse,Canada,NATO; NORTHAM,Critical infrastructure,Not available,Not available,,False,,,,0.0
2026-01-10,Data theft & Doxing; Hijacking with Misuse,Turkey,ASIA; NATO; MEA,Critical infrastructure,Not available,Not available,,False,Not available,,,0.0
2026-02-03,Hijacking without Misuse,Malta,EUROPE; EU(MS); MENA,Critical infrastructure,Not available,Not available,Not available,False,Not available,,,0.0
2026-01-29,Disruption; Hijacking with Misuse; Ransomware; Hijacking with Misuse,United States,NATO; NORTHAM,State institutions / political system,Not available,Not available,,False,,,,0.0
2026-02-02,Disruption; Hijacking with Misuse; Ransomware,Italy,EUROPE; NATO; EU(MS),State institutions / political system; Critical infrastructure; Education,Not available,Not available,Not available,False,,,,0.0
2025-03-01,Data theft; Hijacking with Misuse,Thailand; Philippines; Cambodia; Indonesia; Laos; Singapore,ASIA; SEA - ASIA; SCS; SEA - ASIA; SEA - ASIA; SCS; SEA - ASIA; SEA - ASIA,State institutions / political system - State institutions / political system - State institutions / political system - State institutions / political system - State institutions / political system - State institutions / political system,China,"Non-state actor, state-affiliation suggested",,False,,,,0.0
2025-12-01,Data theft; Hijacking with Misuse,Eastern Europe; Asia (region), - ,State institutions / political system - State institutions / political system,China,"Non-state actor, state-affiliation suggested",,False,,,,0.0
2026-12-01,Data theft; Hijacking with Misuse,United Kingdom,EUROPE; NATO; NORTHEU,Social groups,,,,False,,,,0.0
2026-02-02,Data theft; Data theft & Doxing,Spain,EUROPE; NATO; EU(MS),State institutions / political system,,,,False,,,,0.0
2026-02-02,Data theft; Hijacking with Misuse,Spain,EUROPE; NATO; EU(MS),State institutions / political system,Not available,Individual hacker(s),,False,,,,0.0
2026-01-31,Disruption; Hijacking with Misuse,Bangladesh,ASIA; SASIA,State institutions / political system; State institutions / political system,,,,False,,,,0.0
2026-01-26,Disruption,Russia,EUROPE; EASTEU; CSTO; SCO,Critical infrastructure,,,,False,,,,0.0
2026-01-28,Data theft; Hijacking with Misuse,United States; United States,NATO; NORTHAM - NATO; NORTHAM,Critical infrastructure - Critical infrastructure,Not available,Non-state-group,,False,,,,0.0
2026-01-31,Data theft; Disruption; Hijacking with Misuse,Spain,EUROPE; NATO; EU(MS),Critical infrastructure,Not available,Not available,,True,,,,0.0
